Resturent_Name,Food_Type,Points of Review,Reviews_link,Comments_link
"Sponsored
Zou Zou Turkish & Lebanese Restaurant","Lebanese, MediterraneanMenu",43 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d25251944-Reviews-Zou_Zou_Turkish_Lebanese_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25251944-r888794642-Zou_Zou_Turkish_Lebanese_Restaurant-Dubai_Emirate_of_Dubai.html
1. Couqley French Bistro & Bar,"French, European$$ - $$$Menu","2,891 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d10336417-Reviews-Couqley_French_Bistro_Bar-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25251944-r888301773-Zou_Zou_Turkish_Lebanese_Restaurant-Dubai_Emirate_of_Dubai.html
2. The Crossing,"Indian, ContemporaryMenu",437 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23851552-Reviews-The_Crossing-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d10336417-r878162329-Couqley_French_Bistro_Bar-Dubai_Emirate_of_Dubai.html
3. Nando's,"European, Portuguese",436 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d24109845-Reviews-Nando_s-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d10336417-r886336485-Couqley_French_Bistro_Bar-Dubai_Emirate_of_Dubai.html
4. Ergo Cocktail Bar & Restaurant,Mediterranean,316 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d25060097-Reviews-Ergo_Cocktail_Bar_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23851552-r887150944-The_Crossing-Dubai_Emirate_of_Dubai.html
5. Giardino,"Asian, Mediterranean$$$$","1,365 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d9768986-Reviews-Giardino-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23851552-r886225874-The_Crossing-Dubai_Emirate_of_Dubai.html
"Sponsored
Rhodes W1","European, British$$$$Menu",463 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d7117241-Reviews-Rhodes_W1-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d24109845-r883520010-Nando_s-Dubai_Emirate_of_Dubai.html
6. Sette,"Italian, Sicilian$$$$","1,301 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d19939225-Reviews-Sette-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d24109845-r882048059-Nando_s-Dubai_Emirate_of_Dubai.html
7. Clay Dubai,"Peruvian, South AmericanMenu",778 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23785431-Reviews-Clay_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25060097-r886131252-Ergo_Cocktail_Bar_Restaurant-Dubai_Emirate_of_Dubai.html
8. Patriki,Russian,165 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d25298477-Reviews-Patriki-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25060097-r884304640-Ergo_Cocktail_Bar_Restaurant-Dubai_Emirate_of_Dubai.html
9. The Shore,Bar$$ - $$$,983 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d3920907-Reviews-The_Shore-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d9768986-r882348221-Giardino-Dubai_Emirate_of_Dubai.html
10. Ayamna,"Lebanese, Middle Eastern$$ - $$$Menu","2,445 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d10165445-Reviews-Ayamna-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d9768986-r874169669-Giardino-Dubai_Emirate_of_Dubai.html
"Sponsored
Bossman's Burgr Factory",American$$$$Menu,4 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23861284-Reviews-Bossman_s_Burgr_Factory-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d7117241-r875064179-Rhodes_W1-Dubai_Emirate_of_Dubai.html
11. The Edge,European$$ - $$$,886 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d3920824-Reviews-The_Edge-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d7117241-r813177992-Rhodes_W1-Dubai_Emirate_of_Dubai.html
12. Yasmina Restaurant,"Healthy, Seafood$$ - $$$Menu",632 point,https://www.tripadvisor.com/Restaurant_Review-g298064-d15816372-Reviews-Yasmina_Restaurant-Sharjah_Emirate_of_Sharjah.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d19939225-r886493822-Sette-Dubai_Emirate_of_Dubai.html
13. Bar Buci,"International, BarMenu",325 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23831724-Reviews-Bar_Buci-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d19939225-r887412578-Sette-Dubai_Emirate_of_Dubai.html
14. Dream Dubai,"Mediterranean, BarMenu",434 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23614418-Reviews-Dream_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23785431-r885344993-Clay_Dubai-Dubai_Emirate_of_Dubai.html
15. Sky Bar,"International, Pub$$ - $$$",533 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23291168-Reviews-Sky_Bar-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23785431-r885344881-Clay_Dubai-Dubai_Emirate_of_Dubai.html
"Sponsored
Swiss Butter","French, Steakhouse$$ - $$$Menu",490 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23822191-Reviews-Swiss_Butter-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25298477-r886024668-Patriki-Dubai_Emirate_of_Dubai.html
16. The Tap House,"European, Asian",440 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d25192984-Reviews-The_Tap_House-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25298477-r884057639-Patriki-Dubai_Emirate_of_Dubai.html
17. Ahlan Lounge @ Gate B26,"Bar, International$$ - $$$Menu","2,989 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d16897846-Reviews-Ahlan_Lounge_Gate_B26-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3920907-r887369574-The_Shore-Dubai_Emirate_of_Dubai.html
18. Grapeskin Grape Bar and Kitchen,"Bar, European$$ - $$$Menu",614 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d12632821-Reviews-Grapeskin_Grape_Bar_and_Kitchen-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3920907-r881258859-The_Shore-Dubai_Emirate_of_Dubai.html
19. Brass Monkey Social,"American, Bar$$ - $$$Menu","1,064 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d21324809-Reviews-Brass_Monkey_Social-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d10165445-r890192245-Ayamna-Dubai_Emirate_of_Dubai.html
20. Varq,"Indian, AsianMenu",312 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23838302-Reviews-Varq-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d10165445-r890189749-Ayamna-Dubai_Emirate_of_Dubai.html
"Sponsored
Tresind Dubai","Indian, Contemporary$$$$Menu",855 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d7257524-Reviews-Tresind_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23861284-r881760964-Bossman_s_Burgr_Factory-Dubai_Emirate_of_Dubai.html
21. Seafire Steakhouse And Bar,"Steakhouse, European$$$$Menu","3,721 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d1853089-Reviews-Seafire_Steakhouse_And_Bar-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23861284-r862586756-Bossman_s_Burgr_Factory-Dubai_Emirate_of_Dubai.html
22. Bombay Brasserie,"Indian, Asian$$$$Menu","1,817 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d8091861-Reviews-Bombay_Brasserie-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3920824-r885067852-The_Edge-Dubai_Emirate_of_Dubai.html
23. Naughty Pizza Dubai,"Italian, PizzaMenu",142 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d25271660-Reviews-Naughty_Pizza_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3920824-r882141659-The_Edge-Dubai_Emirate_of_Dubai.html
24. Flo Dubai,"Japanese, Mediterranean",743 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23806772-Reviews-Flo_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g298064-d15816372-r887317529-Yasmina_Restaurant-Sharjah_Emirate_of_Sharjah.html
25. Kinara by Vikas Khanna,"Indian, Asian$$$$",781 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d18856876-Reviews-Kinara_by_Vikas_Khanna-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g298064-d15816372-r884527084-Yasmina_Restaurant-Sharjah_Emirate_of_Sharjah.html
"Sponsored
ZRoom","Uzbek, International",155 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23641822-Reviews-ZRoom-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23831724-r889822426-Bar_Buci-Dubai_Emirate_of_Dubai.html
26. Iskender Doner,"Turkish, Mediterranean",291 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d24892191-Reviews-Iskender_Doner-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23831724-r889752861-Bar_Buci-Dubai_Emirate_of_Dubai.html
27. The Grill Shack,"American, Steakhouse$$ - $$$Menu","1,883 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d13455740-Reviews-The_Grill_Shack-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23614418-r885264936-Dream_Dubai-Dubai_Emirate_of_Dubai.html
28. Phantom House,"Lebanese, Bar$$ - $$$",437 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d17295151-Reviews-Phantom_House-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23614418-r886415842-Dream_Dubai-Dubai_Emirate_of_Dubai.html
29. Tribes Carnivore,"Steakhouse, African$$ - $$$Menu","2,100 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d11948587-Reviews-Tribes_Carnivore-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23291168-r869842495-Sky_Bar-Dubai_Emirate_of_Dubai.html
30. Plaj,Mediterranean$$ - $$$Menu,"1,397 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d3920218-Reviews-Plaj-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23291168-r866984612-Sky_Bar-Dubai_Emirate_of_Dubai.html
"Sponsored
Kimura-ya Authentic Japanese Restaurant - 4th Branch Creek","Japanese, Barbecue$$$$Menu",295 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23792600-Reviews-Kimura_ya_Authentic_Japanese_Restaurant_4th_Branch_Creek-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23822191-r879704245-Swiss_Butter-Dubai_Emirate_of_Dubai.html
"Sponsored
Rhain Dubai","International, European$$$$Menu",177 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23377960-Reviews-Rhain_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23377960-r865390499-Rhain_Dubai-Dubai_Emirate_of_Dubai.html
31. Mado Jumeirah,"Turkish, Middle Eastern$$ - $$$Menu",537 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d10876691-Reviews-Mado_Jumeirah-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23377960-r879740030-Rhain_Dubai-Dubai_Emirate_of_Dubai.html
32. La Piscina,"Mediterranean, Sushi$$ - $$$Menu",827 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d21058559-Reviews-La_Piscina-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d10876691-r878877849-Mado_Jumeirah-Dubai_Emirate_of_Dubai.html
33. Village Bistro,Mediterranean,405 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23632018-Reviews-Village_Bistro-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d10876691-r877375600-Mado_Jumeirah-Dubai_Emirate_of_Dubai.html
34. Al Shorfa Restaurant & Cafe,"Lebanese, Middle Eastern$$ - $$$Menu",918 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d4282171-Reviews-Al_Shorfa_Restaurant_Cafe-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d21058559-r885023295-La_Piscina-Dubai_Emirate_of_Dubai.html
35. Nolo,"International, Indian",180 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d24186102-Reviews-Nolo-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d21058559-r840366340-La_Piscina-Dubai_Emirate_of_Dubai.html
"Sponsored
The Third Brooklyn Lounge","Italian, AmericanMenu",1 review,https://www.tripadvisor.com/Restaurant_Review-g295424-d25229983-Reviews-The_Third_Brooklyn_Lounge-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23632018-r889327855-Village_Bistro-Dubai_Emirate_of_Dubai.html
36. Asil Restaurant,"Lebanese, Moroccan$$$$Menu","1,589 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d21035606-Reviews-Asil_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23632018-r889210814-Village_Bistro-Dubai_Emirate_of_Dubai.html
37. Rang Mahal,IndianMenu,414 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23641711-Reviews-Rang_Mahal-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d4282171-r882600315-Al_Shorfa_Restaurant_Cafe-Dubai_Emirate_of_Dubai.html
38. The Noodle House - Nakheel Mall,"Asian, Healthy$$ - $$$Menu","1,080 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d19315629-Reviews-The_Noodle_House_Nakheel_Mall-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d4282171-r866270028-Al_Shorfa_Restaurant_Cafe-Dubai_Emirate_of_Dubai.html
39. Summer Place Dubai,"Asian, Chinese$$ - $$$Menu",811 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d3920667-Reviews-Summer_Place_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d24186102-r881868616-Nolo-Dubai_Emirate_of_Dubai.html
40. Senor Pico,"Mexican, Bar$$ - $$$Menu","2,607 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d21314995-Reviews-Senor_Pico-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d24186102-r877365088-Nolo-Dubai_Emirate_of_Dubai.html
"Sponsored
Kamat Vegetarian Restaurant","Indian, Asian$$ - $$$Menu",258 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d4340085-Reviews-Kamat_Vegetarian_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25229983-r875245638-The_Third_Brooklyn_Lounge-Dubai_Emirate_of_Dubai.html
41. Warehouse,Bar$$ - $$$Menu,"2,066 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d1847921-Reviews-Warehouse-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d21035606-r887143626-Asil_Restaurant-Dubai_Emirate_of_Dubai.html
42. White Orchid Restaurant,"Asian, Fusion$$$$","2,575 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d3921044-Reviews-White_Orchid_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d21035606-r786646120-Asil_Restaurant-Dubai_Emirate_of_Dubai.html
43. Saffron,"Sushi, Asian$$ - $$$Menu","5,261 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d1656442-Reviews-Saffron-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23641711-r887412300-Rang_Mahal-Dubai_Emirate_of_Dubai.html
44. Sansation,"Mediterranean, Middle Eastern$$ - $$$Menu","1,597 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d8741296-Reviews-Sansation-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23641711-r877433344-Rang_Mahal-Dubai_Emirate_of_Dubai.html
45. BLU Skylounge Dubai,InternationalMenu,139 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d25376698-Reviews-BLU_Skylounge_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d19315629-r877488965-The_Noodle_House_Nakheel_Mall-Dubai_Emirate_of_Dubai.html
"Sponsored
Logs & Embers",American$$$$Menu,84 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23559175-Reviews-Logs_Embers-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d19315629-r876489261-The_Noodle_House_Nakheel_Mall-Dubai_Emirate_of_Dubai.html
46. Vanitas,"Italian, Seafood$$$$Menu","1,028 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d9768988-Reviews-Vanitas-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3920667-r872503445-Summer_Place_Dubai-Dubai_Emirate_of_Dubai.html
47. Swiss Butter,"French, Steakhouse$$ - $$$Menu",490 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23822191-Reviews-Swiss_Butter-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3920667-r868124298-Summer_Place_Dubai-Dubai_Emirate_of_Dubai.html
48. Amala,Indian$$$$Menu,"1,764 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d2164452-Reviews-Amala-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d21314995-r882520656-Senor_Pico-Dubai_Emirate_of_Dubai.html
49. Kimura-ya Authentic Japanese Restaurant - 3rd Branch Marriot Hotel Al Jaddaf Dubai,"Japanese, Barbecue$$$$Menu",498 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23670773-Reviews-Kimura_ya_Authentic_Japanese_Restaurant_3rd_Branch_Marriot_Hotel_Al_Jaddaf_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d21314995-r869255773-Senor_Pico-Dubai_Emirate_of_Dubai.html
50. Bridgewater Tavern,"American, Bar$$ - $$$",527 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d12233337-Reviews-Bridgewater_Tavern-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d4340085-r889648720-Kamat_Vegetarian_Restaurant-Dubai_Emirate_of_Dubai.html
